Drug,Class
"Butalbital, Aspirin, Caffeine, and Codeine",Analgesic Combination (Opioid)
Valsartan, Angiotensin II Receptor Antagonists
Valsartan and Hydrochlorothiazide,Angiotensin II Receptor Blocker
Valstar,Antibiotics / antineoplastics
Valtoco,Benzodiazepine anticonvulsants
Valtrex,Purine nucleosides
Valturna,Miscellaneous antihypertensive combinations
Carisoprodol, Centrally Acting Skeletal Muscle Relaxants
Vanatol LQ,Analgesic combinations
Amitriptyline, Tricyclics and Other Norepinephrine-reuptake Inhibitors
Vancomycin, Glycopeptides
Clonazepam, Benzodiazepines
Vandazole,Topical anti-rosacea agents
Vandetanib, Antineoplastic Agents
Vanilla Silq,Non-iodinated contrast media
Vanilla SilQ MD,Non-iodinated contrast media
Vaniqa Cream,Miscellaneous topical agents
Eflornithine," Skin and Mucous Membrane Agents, Miscellaneous"
Vanos,Topical steroids
Vanoxide HC,Topical acne agents
busPIRone," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Vantas,Gonadotropin releasing hormones
Prednisone, Adrenals
Vantin,Third generation cephalosporins
HYDROcodone, Opiate Agonists
Vaprisol,Vasopressin antagonists
Vaqta,Viral vaccines
Vardenafil, Phosphodiesterase Type 5 Inhibitors
Varenicline," Autonomic Drugs, Miscellaneous"
Varibar Pudding,Non-iodinated contrast media
Varicella Virus Vaccine Live, Vaccines
Varicella Zoster Immune Globulin, Antitoxins and Immune Globulins
Zoster Vaccine Live, Vaccines
Teveten,Angiotensin receptor blockers
Varithena,Sclerosing agents
Varivax,Viral vaccines
Varizig,Immune globulins
Varubi,NK1 receptor antagonists
Vascepa,Miscellaneous antihyperlipidemic agents
Petroleum Jelly White,Topical emollients
Vaseretic,ACE inhibitors with thiazides
Sulfacetamide and Prednisolone,Ophthalmic steroids with anti-infectives
Vasodilan,Peripheral vasodilators
"Hydrocodone, Chlorpheniramine and Pseudoephedrine",Upper respiratory combinations
Teveten HCT,Angiotensin II inhibitors with thiazides
Vasopressin, Pituitary
Vasostrict,Antidiuretic hormones
Vasotec,Angiotensin Converting Enzyme Inhibitors
Enalaprilat,Angiotensin-Converting Enzyme (ACE) Inhibitor
Vasovist,Magnetic resonance imaging contrast media
Vaxchora,Bacterial vaccines
Vaxelis,Vaccine combinations
Vazculep,Vasopressors
Rheumatrex,Antimetabolites
Texacort,Topical steroids
Budesonide (EENT), Corticosteroids
Rhinocort Aqua,Nasal steroids
"Budesonide (Systemic, Oral Inhalation)", Adrenals
RhoGAM Ultra-Filtered PLUS,Immune globulins
Rhofade Cream,Topical anti-rosacea agents
Oxymetazoline (Topical)," Skin and Mucous Membrane Agents, Miscellaneous"
Rhophylac,Immune globulins
Rhopressa,Ophthalmic glaucoma agents
Estropipate,Estrogens
Estropipate,Estrogen Derivative
Tezacaftor and Ivacaftor, Cystic Fibrosis Transmembrane Conductance Regulator Correctors
Ogestrel 0.5/50,Contraceptives
Ogivri Injection,HER2 inhibitors
MS Contin,Narcotic analgesics
Silver Nitrate,"Antibiotic, Topical"
Silver Nitrate Applicators,Antiseptic and germicides
Gralise,Gamma-aminobutyric acid analogs
Granisetron, 5-HT3 Receptor Antagonists
Granulex Spray,Topical debriding agents
Grastek,Allergenics
Grifulvin V Tablets,Miscellaneous antifungals
Vaccinia Immune Globulin IV, Antitoxins and Immune Globulins
Griseofulvin," Antifungals, Miscellaneous"
Gris-PEG,Miscellaneous antifungals
Agalsidase Beta, Enzymes
Aggrastat,Glycoprotein platelet inhibitors
Aggrenox,Platelet aggregation inhibitors
Influenza Virus Vaccine Inactivated, Vaccines
Agrylin,Miscellaneous coagulation modifiers
Iquix,Ophthalmic anti-infectives
Arakoda,Antimalarial quinolines
Aralast NP,Miscellaneous respiratory agents
Ciclopirox, Hydroxypyridones
Chloroquine, Antimalarials
Aranesp,Recombinant human erythropoietins
Arava,Antirheumatics
Arazlo,Topical acne agents
Arbinoxa,Antihistamines
Arcalyst,Interleukin inhibitors
Arcapta Neohaler,Adrenergic bronchodilators
Aredia,Bisphosphonates
Minocycline (EENT), Antibacterials
Minocycline (Topical), Antibacterials
CNL8,Topical antifungals
Arformoterol, Selective beta-2-Adrenergic Agonists
Argatroban, Direct Thrombin Inhibitors
Arginine,Diagnostic Agent
Aricept,Cholinesterase inhibitors
Aricept ODT,Cholinesterase inhibitors
Aridol Bronchial Challenge Test Kit,Miscellaneous diuretics
Mannitol, Osmotic Diuretics
Arimidex,Aromatase inhibitors
Aristada,Atypical antipsychotics
Aristada Initio,Atypical antipsychotics
Calcium-Folic Acid Plus D,Vitamin and mineral combinations
Aristocort,Glucocorticoids
Aristospan,Glucocorticoids
Arixtra,Factor Xa inhibitors
Armodafinil, Wakefulness-promoting Agents
"Fluticasone (Systemic, Oral Inhalation)", Adrenals
ArmonAir Digihaler,Inhaled corticosteroids
ArmonAir Respiclick,Inhaled corticosteroids
Armour Thyroid,Thyroid drugs
Arnuity Ellipta,Inhaled corticosteroids
Aromasin,Aromatase inhibitors
Phenoxybenzamine, Non-selective alpha-Adrenergic Blocking Agents
Ocaliva,Miscellaneous GI agents
Arranon,Antimetabolites
Arsenic Trioxide, Antineoplastic Agents
Artemether and Lumefantrine, Antimalarials
Artesunate Injection,Miscellaneous antimalarials
Capsaicin,"Analgesic, Topical"
Arthrotec,Nonsteroidal anti-inflammatory drugs
Articadent,Local injectable anesthetics
Arymo ER,Narcotic analgesics
Arzerra,CD20 monoclonal antibodies
Betamethasone (Topical), Corticosteroids
ATNAA,Antidotes
ATryn,Miscellaneous coagulation modifiers
Atacand,Angiotensin receptor blockers
Atacand HCT,Angiotensin II inhibitors with thiazides
Atarax,Antihistamines
Atazanavir, HIV Protease Inhibitors
Atazanavir and Cobicistat,"Antiretroviral, Protease Inhibitor (Anti-HIV)"
Atelvia,Bisphosphonates
Atenolol, beta-Adrenergic Blocking Agents
Atenolol and Chlorthalidone,Antihypertensive
Salicylic Acid, Keratolytic Agents
Atezolizumab, Antineoplastic Agents
Antithymocyte Globulin (Equine), Immunosuppressive Agents
Atgam,Selective immunosuppressants
Ativan,Benzodiazepine anticonvulsants
"Atoltivimab, Maftivimab, and Odesivimab-ebgn", Monoclonal Antibodies
Atomoxetine," Central Nervous System Agents, Miscellaneous"
Atorvastatin, HMG-CoA Reductase Inhibitors
Atovaquone," Antiprotozoals, Miscellaneous"
Atovaquone/Proguanil, Antimalarials
Atracurium, Neuromuscular Blocking Agents
Ocella,Contraceptives
Atralin Gel,Topical acne agents
Doxycycline," Skin and Mucous Membrane Agents, Miscellaneous"
Atripla,Antiviral combinations
AtroPen,Anticholinergic chronotropic agents
Atropine, Antimuscarinics/Antispasmodics
Atropine and Pralidoxime,Anticholinergic Agent
Atrovent HFA,Anticholinergic bronchodilators
Atrovent Nasal Spray,Nasal antihistamines and decongestants
Ipratropium (EENT)," EENT Drugs, Miscellaneous"
"Chlorphen Mal, Dex HBr, Pseudoeph",Upper respiratory combinations
Ocrelizumab, Immunomodulatory Agents
Cyanokit,Vitamins
Cyclessa,Contraceptives
cycloSPORINE (EENT)," Anti-inflammatory Agents, Miscellaneous"
cycloSPORINE (Systemic), Immunosuppressive Agents
Cyclobenzaprine, Centrally Acting Skeletal Muscle Relaxants
Amcinonide Ointment,Topical steroids
Cyclogyl,Mydriatics
Cyclomydril,Mydriatics
Cyclopentolate and Phenylephrine,"Ophthalmic Agent, Mydriatic"
Cyclophosphamide, Antineoplastic Agents
Ocrevus,CD20 monoclonal antibodies
Cycloserine, Antituberculosis Agents
Cycloset,Dopaminergic antiparkinsonism agents
Cyklokapron,Miscellaneous coagulation modifiers
Cylert,CNS stimulants
Adalimumab, Disease-modifying Antirheumatic Drugs
Cymbalta,Serotonin-norepinephrine reuptake inhibitors
Cyproheptadine, First Generation Antihistamines
Cyramza,VEGF / VEGFR inhibitors
Cyred,Contraceptives
Cystadane,Nutraceutical products
Ocriplasmin," EENT Drugs, Miscellaneous"
Cystadrops,Miscellaneous ophthalmic agents
Cystagon,Miscellaneous uncategorized agents
Cystaran,Miscellaneous ophthalmic agents
Cysteamine," EENT Drugs, Miscellaneous"
Cystografin,Ionic iodinated contrast media
Cysview,Malignancy photosensitizers
Cytadren,Adrenal corticosteroid inhibitors
Cytarabine, Antineoplastic Agents
DAUNOrubicin and Cytarabine, Antineoplastic Agents
Cytarabine (Liposomal),"Antineoplastic Agent, Antimetabolite"
Octagam,Immune globulins
Cytomegalovirus Immune Globulin IV, Antitoxins and Immune Globulins
Cytogam,Immune globulins
Cytomel,Thyroid drugs
Cytotec,Miscellaneous GI agents
Cytovene-IV,Purine nucleosides
Cytoxan,Alkylating agents
Potassium Citrate-Sodium Citrate-Citric Acid Solution,Minerals and electrolytes
Sodium Citrate and Citric Acid,"Alkalinizing Agent, Oral"
Cytra K Oral Solution,Minerals and electrolytes
Vpriv,Lysosomal enzymes
Lidocaine and Epinephrine,Local Anesthetic
Edaravone," Central Nervous System Agents, Miscellaneous"
Edarbi,Angiotensin receptor blockers
Edarbyclor,Angiotensin II inhibitors with thiazides
Edecrin,Loop diuretics
Sodium Edecrin,Loop diuretics
Edetate Calcium Disodium, Heavy Metal Antagonists
Edex Injection,Impotence agents
Edluar,"Miscellaneous anxiolytics, sedatives and hypnotics"
Edoxaban Tosylate, Direct Factor Xa Inhibitors
Edurant,NNRTIs
Lidocaine and Epinephrine Injection,Local injectable anesthetics
Izba,Ophthalmic glaucoma agents
Vfend Injection,Azole antifungals
Voriconazole, Azoles
Vfend Tablets,Azole antifungals
Lialda,5-aminosalicylates
Librax,Anticholinergics / antispasmodics
Librium,Benzodiazepines
Libtayo Injection,Anti-PD-1 monoclonal antibodies
Cemiplimab-rwlc, Antineoplastic Agents
Licart,Topical non-steroidal anti-inflammatories
Phentermine, Amphetamine Derivatives
Octreotide, Somatostatin Agonists
Permethrin, Scabicides and Pediculicides
Lidocaine (Local), Local Anesthetics
Lidex,Topical steroids
Lidex-E,Topical steroids
Lidocort Cream,Topical anesthetics
LidoRx,Topical anesthetics
LidoSite,Local injectable anesthetics
Lidocaine (Systemic), Class Ib Antiarrhythmics
Lidocaine (Ophthalmic),Local Anesthetic
Lidocaine and Hydrocortisone Gel,Topical anesthetics
Proparacaine,Ophthalmic anesthetics
Lidocaine and Hydrocortisone Cream,Topical anesthetics
Lidocaine and Prilocaine,Local Anesthetic
Lidocaine and Tetracaine Cream,Topical anesthetics
Lidocaine Viscous,Topical anesthetics
Lidothol Patch,Topical anesthetics
Lidothol Gel,Topical anesthetics
Lifitegrast," Anti-inflammatory Agents, Miscellaneous"
Liletta,Contraceptives
Lillow,Contraceptives
Limbitrol,Psychotherapeutic combinations
"Pilocarpine, Pilocarpine Hydrochloride, Pilocarpine Nitrate", Miotics
"Chlordiazepoxide,Amitriptyline",Psychotherapeutic combinations
Linaclotide," GI Drugs, Miscellaneous"
Linagliptin, Dipeptidyl Peptidase-4 (DPP-4) Inhibitors
Linagliptin and Metformin,"Antidiabetic Agent, Biguanide"
Lincocin,Lincomycin derivatives
Lincomycin, Lincomycins
Lindane, Scabicides and Pediculicides
Linezolid, Oxazolidinones
Linzess,Guanylate cyclase-C agonists
Lioresal,Skeletal muscle relaxants
Dexamethasone SodiumPhosphate,Ophthalmic steroids
Liothyronine, Thyroid Agents
Liotrix, Thyroid Agents
Lipitor,Statins
Lipofen,Fibric acid derivatives
Fat Emulsion (Fish Oil Based),Caloric Agent
Liptruzet Tablets,Antihyperlipidemic combinations
Dextroamphetamine, Amphetamines
"Charcoal, Activated", Antacids and Adsorbents
Hydrocodone and Acetaminophen Oral Solution,Narcotic analgesic combinations
PedvaxHIB,Bacterial vaccines
Sodium Chloride, Replacement Preparations
Liraglutide, Incretin Mimetics
Lisdexamfetamine, Amphetamines
Lisinopril, Angiotensin-Converting Enzyme Inhibitors
Lisinopril and Hydrochlorothiazide,Angiotensin-Converting Enzyme (ACE) Inhibitor
Insulin Lispro, Rapid-acting Insulins
Lithium, Antimanic Agents
Lithobid,Antimanic agents
Lithostat,Miscellaneous genitourinary tract agents
Livalo,Statins
Lixisenatide, Incretin Mimetics
Gentamicin (EENT), Antibacterials
Nyamyc,Topical antifungals
Isoniazid, Antituberculosis Agents
Nymalize,Calcium channel blocking agents
Nystatin Oral Suspension,Mouth and throat products
Nystatin and Triamcinolone,"Antifungal Agent, Topical"
Nystop,Topical antifungals
Nyvepria,Colony stimulating factors
Zocor,Statins
Zofran,5HT3 receptor antagonists
Zofran ODT,5HT3 receptor antagonists
Cyclopentolate, Mydriatics
Zokinvy,Miscellaneous metabolic agents
Zoladex,Gonadotropin releasing hormones
Zoledronic Acid, Bone Resorption Inhibitors
Zolgensma,Miscellaneous uncategorized agents
Zolinza,Histone deacetylase inhibitors
Zolmitriptan, Selective Serotonin Agonists
Zoloft,Selective serotonin reuptake inhibitors
Econazole, Azoles
Zolpimist,"Miscellaneous anxiolytics, sedatives and hypnotics"
Zolpidem," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Phenylephrine Ophthalmic Solution,Mydriatics
Zometa,Bisphosphonates
Zomig,Antimigraine agents
Zonalon,Topical antihistamines
Zonatuss,Antitussives
Zonegran,Carbonic anhydrase inhibitor anticonvulsants
Zonisamide," Anticonvulsants, Miscellaneous"
Zontivity,Protease-activated receptor-1 antagonists
Zorbtive,Growth hormones
Zortress,MTOR inhibitors
Zorvolex,Nonsteroidal anti-inflammatory drugs
prednisoLONE (EENT), Corticosteroids
Zostavax,Viral vaccines
Zoster Vaccine Recombinant, Vaccines
Zosyn,Beta-lactamase inhibitors
Ethynodiol diacetate and Ethinyl Estradiol,Contraceptives
Zovia 1/35E,Contraceptives
Zovia 1/50E,Contraceptives
Zovirax,Purine nucleosides
Acyclovir (Topical), Antivirals
Zovirax Cream,Topical antivirals
VESIcare,Urinary antispasmodics
"Neomycin, Polymyxin B, and Gramicidin","Antibiotic, Ophthalmic"
VESIcare LS,Urinary antispasmodics
Vecamyl,"Antiadrenergic agents, peripherally acting"
Vectibix,EGFR inhibitors
Vectical,Topical antipsoriatics
Vecuronium, Neuromuscular Blocking Agents
Vedolizumab," GI Drugs, Miscellaneous"
Veklury,Investigational drugs
Velaglucerase Alfa, Enzymes
vinBLAStine, Antineoplastic Agents
Velcade,Proteasome inhibitors
Phentermine and Topiramate,Anorexiant
"Neomycin,Polymyxin B,Dexamethasone Ointment",Ophthalmic steroids with anti-infectives
Veletri,Agents for pulmonary hypertension
Velivet,Contraceptives
Sofosbuvir and Velpatasvir, HCV Polymerase Inhibitors
Velphoro,Phosphate binders
Veltassa,Cation exchange resins
Veltin Gel,Topical acne agents
Clindamycin and Tretinoin Gel,Topical acne agents
Vemlidy,Nucleoside reverse transcriptase inhibitors (NRTIs)
Vemurafenib, Antineoplastic Agents
Venclexta,Miscellaneous antineoplastics
Tropicamide, Mydriatics
Venelex Ointment,Miscellaneous topical agents
Venetoclax, Antineoplastic Agents
Venlafaxine, Selective Serotonin- and Norepinephrine-reuptake Inhibitors
Venofer Injection,Iron products
Iron Sucrose, Iron Preparations
Ventavis,Agents for pulmonary hypertension
Ventolin,Adrenergic bronchodilators
VePesid,Mitotic inhibitors
Veramyst,Nasal steroids
Verapamil," Calcium-Channel Blocking Agents, Miscellaneous"
Atropine (EENT), Mydriatics
Verdeso,Topical steroids
Veregen,Anorectal preparations
Verelan,Calcium channel blocking agents
Verelan PM,Calcium channel blocking agents
Veripred 20,Glucocorticoids
Vermox,Anthelmintics
Verquvo,Vasodilators
Versacloz,Atypical antipsychotics
Verteporfin," EENT Drugs, Miscellaneous"
Verzenio,CDK 4 / 6 inhibitors
Naphazoline, Vasoconstrictors
Vesanoid,Miscellaneous antineoplastics
Vestronidase Alfa-vjbk, Enzymes
Vestura,Contraceptives
Vexol,Ophthalmic steroids
Gefitinib, Antineoplastic Agents
Chlorhexidine (EENT)," Anti-infectives, Miscellaneous"
Gelato Topical Anesthetic Gel,Topical anesthetics
Gelato Topical Anesthetic,Topical anesthetics
Gelnique,Urinary antispasmodics
Gemcitabine, Antineoplastic Agents
Gemfibrozil, Fibric Acid Derivatives
Gemifloxacin, Quinolones
Gemtesa,Urinary antispasmodics
Gemtuzumab, Antineoplastic Agents
Gemzar,Antimetabolites
Gengraf Capsules,Calcineurin inhibitors
Gengraf,Calcineurin inhibitors
Genosyl,Miscellaneous respiratory agents
Genotropin,Growth hormones
Gentak,Ophthalmic anti-infectives
Oxymetazoline, Vasoconstrictors
Prednisolone and Gentamicin,"Antibiotic/Corticosteroid, Ophthalmic"
Genvoya,Antiviral combinations
Geodon,Atypical antipsychotics
Ammonium Lactate Cream,Topical emollients
Equaline All Day Allergy,Antihistamines
Hecoria,Calcineurin inhibitors
Hectorol,Vitamins
Helidac,H. pylori eradication agents
Helixate FS,Miscellaneous coagulation modifiers
Hemabate,Uterotonic agents
Doxycycline (Systemic), Tetracyclines
Hemady,Glucocorticoids
Hemangeol,Group II antiarrhythmics
Hemlibra,Miscellaneous coagulation modifiers
Hemmorex-HC,Topical steroids
Estrogens (Conjugated/Equine) and Medroxyprogesterone,Estrogen and Progestin Combination
Hemofil M,Miscellaneous coagulation modifiers
HepaGam B,Immune globulins
Heparin, Heparins
Hepatitis A Virus Vaccine Inactivated, Vaccines
Hepatitis B Vaccine Recombinant, Vaccines
Ocufen,Ophthalmic anti-inflammatory agents
Hepsera,Nucleoside reverse transcriptase inhibitors (NRTIs)
Lamivudine, HIV Nucleoside and Nucleotide Reverse Transcriptase Inhibitors
Herceptin,HER2 inhibitors
Herceptin Hylecta,HER2 inhibitors
Herzuma,HER2 inhibitors
Hespan,Plasma expanders
Hetastarch, Replacement Preparations
Hetlioz,"Miscellaneous anxiolytics, sedatives and hypnotics"
Tasimelteon," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Ocuflox,Ophthalmic anti-infectives
Hexachlorophene," Local Anti-infectives, Miscellaneous"
Hexalen,Miscellaneous antineoplastics
Hexaminolevulinate,Contrast Agent
Hextend,Plasma expanders
Egaten,Anthelmintics
Egrifta,Growth hormones
Ala-Scalp Lotion,Topical steroids
AlaCort,Topical steroids
Ala Quin Cream,Topical steroids with anti-infectives
Ala Scalp,Topical steroids
Ocupress,Ophthalmic glaucoma agents
Alamast,Ophthalmic antihistamines and decongestants
Alavert,Antihistamines
Alavert D-12 Hour Allergy and Sinus,Upper respiratory combinations
Ketotifen, Antiallergic Agents
Albalon,Ophthalmic antihistamines and decongestants
Albendazole, Anthelmintics
Albenza,Anthelmintics
Albiglutide,"Antidiabetic Agent, Glucagon-Like Peptide-1 (GLP-1) Receptor Agonist"
Albuked,Plasma expanders
Albuminar-25,Plasma expanders
Acetaminophen," Analgesics and Antipyretics, Miscellaneous"
Phentolamine, Non-selective alpha-Adrenergic Blocking Agents
Good Neighbor Sleep Aid,"Miscellaneous anxiolytics, sedatives and hypnotics"
AlbuRx,Plasma expanders
Albutein,Plasma expanders
Alcaftadine, Antiallergic Agents
Alcaine,Ophthalmic anesthetics
Alclometasone, Corticosteroids
Dehydrated Alcohol Injection,Miscellaneous uncategorized agents
Alcortin A Gel,Topical steroids with anti-infectives
Aldactazide,Potassium sparing diuretics with thiazides
Aldactone,Aldosterone receptor antagonists
Aldara,Topical anti-infectives
diphenhydrAMINE, First Generation Antihistamines
Aldesleukin, Antineoplastic Agents
Aldoril,Antiadrenergic agents (central) with thiazides
Aldurazyme,Lysosomal enzymes
Alecensa,Multikinase inhibitors
Alectinib, Antineoplastic Agents
Alefacept," Skin and Mucous Membrane Agents, Miscellaneous"
Alemtuzumab, Antineoplastic Agents
Alendronate, Bone Resorption Inhibitors
Alendronate and Cholecalciferol,Bisphosphonate Derivative
